Grupo,Horario,Exp,Estatus,Sexo,Examen 1,Examen 2,Examen 3,Proyecto,Puntos extra,Tarea 1,Tarea 2,Tarea 3,Tarea 4,Tarea 5,Tarea 6,Tarea 7,Tarea 8,Tarea 9,Tarea 10,Tarea 11,Tarea 12
MAF3074A,LUN-JUE 7-9,722664,Activo,Hombre,7.7,9,9.044,9.766666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,720071,Activo,Mujer,9.5,9,9.718,9.366666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,703647,Activo,Hombre,8.9,5,5,9.066666667,,10,10,0,0,0,10,0,0,0,0,0,0
MAF3074B,MAR-VIE 7-9,732562,Activo,Mujer,9.65,9.5,5,10,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,714643,Activo,Hombre,6.15,8,5,9.066666667,,10,10,10,0,0,10,0,9,10,10,10,10
MAF3074A,LUN-JUE 7-9,721860,Activo,Hombre,8.3,8.8,8.925,9.5,10,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,720482,Activo,Hombre,8.6,9.5,5,9.266666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,721802,Activo,Mujer,8.8,9.3,8.885,9.4,,10,10,10,10,10,10,10,0,10,10,10,10
MAF3074A,LUN-JUE 7-9,720500,Activo,Mujer,8.5,9.7,9.52,9.666666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,723489,Activo,Mujer,5.85,8.5,9.084,9.166666667,,10,10,0,0,10,0,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721861,Activo,Mujer,9.28,9.6,9.203,9.8,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,722489,Activo,Hombre,5.4,8,6.584,9.6,,0,10,10,0,0,0,0,0,10,10,10,10
MAF3074A,LUN-JUE 7-9,722020,Activo,Hombre,7.7,9.5,9.044,8.833333333,,10,10,10,10,10,10,0,10,0,10,10,10
MAF3074B,MAR-VIE 7-9,721787,Activo,Mujer,9.43,8.5,6.268,9.566666667,,10,0,0,10,10,0,0,0,0,10,10,10
MAF3074B,MAR-VIE 7-9,720811,Activo,Mujer,8.9,9.5,9.52,9.4,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721621,Activo,Hombre,7.9,9.3,7.687,9.5,10,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,721850,Activo,Hombre,8.05,9.5,6.663,9.533333333,,10,0,10,10,0,0,0,0,10,10,10,10
MAF3074A,LUN-JUE 7-9,720083,Activo,Hombre,8.8,9.4,9.877,9.8,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,714994,Activo,Hombre,8.2,8.8,8.567,9.3,,10,10,10,10,10,10,0,0,0,10,0,10
MAF3074A,LUN-JUE 7-9,720476,Activo,Mujer,9.3,9.6,9.52,9.666666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,722176,Activo,Hombre,9.05,9.3,9.52,9.733333333,,10,10,10,0,10,10,0,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,724055,Activo,Hombre,9.35,9,8.567,9.766666667,,10,10,10,0,10,10,0,10,10,10,10,0
MAF3074B,MAR-VIE 7-9,700637,Activo,Hombre,7.85,8,8.646,9.566666667,,10,0,10,0,0,0,0,0,0,9,10,0
MAF3074A,LUN-JUE 7-9,722268,Activo,Hombre,9.15,9.8,9.202,9.766666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,720266,Activo,Hombre,7.65,9.2,9.203,9.266666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,719889,Activo,Hombre,9.2,9.6,7.695,9.933333333,,10,10,10,10,10,10,10,10,10,9,10,0
MAF3074A,LUN-JUE 7-9,724506,Activo,Mujer,7.8,9.4,8.449,9.166666667,,10,10,0,10,10,0,9,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,722399,Activo,Hombre,9.25,8.7,5.632,9.566666667,,0,0,0,0,10,0,0,0,10,9,10,10
MAF3074B,MAR-VIE 7-9,721470,Activo,Mujer,9.75,9.6,9.314,9.366666667,,10,10,10,10,10,10,9,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,722318,Activo,Hombre,7.98,8.2,5,9.566666667,,10,0,10,0,10,0,0,10,0,10,10,0
MAF3074B,MAR-VIE 7-9,720072,Activo,Hombre,8.75,9,9.877,9.366666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,720431,Activo,Hombre,5.7,5,9.837,9.4,,0,0,0,0,0,0,0,0,8,0,0,0
MAF3074B,MAR-VIE 7-9,732560,Activo,Mujer,9.9,9.8,5,9.7,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,720960,Activo,Hombre,8.65,8,8.568,9.533333333,,10,0,10,10,10,10,0,10,9,10,10,10
MAF3074B,MAR-VIE 7-9,726622,Activo,Hombre,10,9.8,5,9.566666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,723259,Activo,Mujer,8,8.8,9.837,9.833333333,,10,10,10,10,10,10,10,10,10,9,10,10
MAF3074B,MAR-VIE 7-9,724691,Activo,Hombre,9,8,5,9.3,,10,10,10,0,10,10,0,10,0,10,0,10
MAF3074A,LUN-JUE 7-9,702002,Activo,Hombre,8.8,5,6.902,9.6,,10,10,10,10,0,0,0,0,0,0,0,0
MAF3074A,LUN-JUE 7-9,722272,Activo,Mujer,9.4,9.5,8.33,9.6,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,720838,Activo,Mujer,8.5,9.2,9.044,8.833333333,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721005,Activo,Hombre,9.08,9.6,9.044,9.6,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,715180,Activo,Hombre,9.4,9.8,8.013,9.933333333,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721416,Activo,Mujer,9.28,8,9.401,9.666666667,,0,10,0,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721278,Activo,Mujer,9.05,9.8,9.877,9.833333333,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074B,MAR-VIE 7-9,720562,Activo,Hombre,7.95,8.2,8.449,9.3,,10,10,10,0,10,10,0,0,0,10,10,10
MAF3074A,LUN-JUE 7-9,721093,Activo,Hombre,8.5,9.5,9.52,9.733333333,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,720268,Activo,Hombre,7.65,9,9.203,9.266666667,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,721215,Activo,Mujer,9.9,9.8,8.568,9.8,,10,10,10,10,10,10,10,10,10,10,10,10
MAF3074A,LUN-JUE 7-9,709396,Activo,Hombre,8.65,8.6,7.299,9.933333333,,10,10,10,10,0,0,5,0,7,10,10,10
